[18-Feb-2025 10:18:12 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 56
[18-Feb-2025 10:20:29 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:20:38 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:20:44 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:21:14 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:21:33 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:21:56 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:23:37 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:23:43 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:24:03 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:24:08 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:25:12 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:26:49 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:26:56 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:30:44 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 10:59:40 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 11:01:23 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 57
[18-Feb-2025 11:09:45 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:10:31 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:11:07 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:12:11 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:12:29 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:13:15 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:13:48 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:14:00 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:15:31 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:15:40 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:16:47 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:16:51 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
[18-Feb-2025 11:17:44 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 65
